,log_accuracy_sigma=0.23,MSE_sigma=0.23,log_mse_sigma=0.23,running_time_sigma=0.23,steps_sigma=0.23,efficiency_sigma=0.23
brentq,4.306460343453583,0.0010010167962822458,0.0009964040938864097,10.299021,9.56237383932176,0.294337570251
brenth,4.306460343454988,0.0010010167962831744,0.0009964040938873144,10.276612,9.786435203875657,0.291739683132
ridder,4.306460343244183,0.0010010167962926013,0.000996404093896623,13.449981000000001,7.159467097295115,0.330529900572
bisection,2.570884651013702,0.014655846231237352,0.014306778835967706,11.164833000000002,2.7202260799354057,0.535385124213
mullerBisection,4.310311926336655,0.0010259312463225402,0.0010204700150587011,43.156249,6.599919257165927,0.342116165534
newton,4.207070547628592,9.678327518481966e+89,0.15369563990832336,5.473967,7.085991118288252,inf
halley,4.269910080588145,0.0011931690239541225,0.0011770464935282716,4.542603000000001,17.1324182478805,0.239491452082
new_newton,3.2694949898348726,inf,inf,6.761548,16.733144933387162,inf
new_halley,4.343307120528665,0.0007039577720051109,0.0007029800645078913,7.882423,17.535728704077513,0.237570730846
halleyMomentum,3.937740751823153,0.0014816263163092414,0.0014762560602655992,7.940713000000001,4.2264836495761005,0.419760947003
