,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,brentq,brentq_steps
0,2/17/17,3/17/17,95.0,GK,Put,0.8,0.04557,94.489998,0.076659822,0.05064151544138722,7.0
1,2/17/17,4/21/17,21.0,ARR,Call,0.75,0.05176,21.709999,0.1724846,0.06073211316795905,11.0
2,2/17/17,6/16/17,100.0,GK,Call,0.08,0.052079999999999994,94.489998,0.32580424399999997,0.06065299167265106,12.0
3,2/17/17,7/21/17,65.0,CYNO,Put,0.45,0.0608,66.25,0.421629021,0.05849055370158843,8.0
4,2/17/17,3/17/17,24.0,FV,Call,0.35,0.06596,24.26,0.076659822,0.06945867610404155,8.0
5,2/17/17,4/21/17,65.0,CYNO,Put,0.3,0.07098,66.25,0.1724846,0.072367787704451,9.0
6,2/17/17,4/21/17,45.0,CLCD,Put,0.1,0.07193,46.400002,0.1724846,0.07138130371812282,10.0
7,2/17/17,3/24/17,119.0,TLT,Call,1.95,0.08252000000000001,120.32,0.09582477800000001,0.07652991107935964,8.0
8,2/17/17,9/15/17,95.0,GK,Call,2.43,0.08281000000000001,94.489998,0.574948665,0.08900963324179312,6.0
9,2/17/17,8/18/17,30.0,BUSE,Call,1.4,0.08406,31.059998999999998,0.498288843,0.0802721865079778,9.0
10,2/17/17,3/3/17,33.0,CSCO,Call,0.77,0.08481,33.740002000000004,0.038329911,0.08563722763036358,11.0
11,2/17/17,1/18/19,75.0,ADI,Call,9.2,0.08506,82.480003,1.916495551,0.08712931843359707,10.0
12,2/17/17,3/10/17,118.0,TLT,Call,2.52,0.08514,120.32,0.057494867000000005,0.07792933057867232,10.0
13,2/17/17,2/24/17,820.0,GOOG,Call,9.5,0.0874,828.070007,0.019164956,0.09308744735670536,9.0
14,2/17/17,2/24/17,845.0,GOOGL,Call,5.1,0.0879,846.5499880000001,0.019164956,0.09066104454449898,6.0
15,2/17/17,2/24/17,835.0,GOOGL,Call,12.2,0.0884,846.5499880000001,0.019164956,0.08442242766848218,10.0
16,2/17/17,2/24/17,857.5,GOOGL,Call,0.97,0.08879,846.5499880000001,0.019164956,0.09437882632534852,10.0
17,2/17/17,2/24/17,33.5,CSCO,Call,0.31,0.09045,33.740002000000004,0.019164956,0.0860742230400444,8.0
18,2/17/17,4/21/17,119.0,TLT,Call,2.75,0.09319,120.32,0.1724846,0.09875876611082182,7.0
19,2/17/17,3/3/17,120.0,TLT,Call,1.17,0.09602999999999999,120.32,0.038329911,0.10539733064658192,6.0
20,2/17/17,2/24/17,34.0,CSCO,Call,0.08,0.09617,33.740002000000004,0.019164956,0.09622606813638182,8.0
21,2/17/17,2/24/17,842.5,GOOG,Call,0.51,0.09636,828.070007,0.019164956,0.09583804533116005,11.0
22,2/17/17,6/16/17,21.0,AGNC,Call,0.07,0.09882,19.49,0.32580424399999997,0.10702773839348315,11.0
23,2/17/17,2/24/17,840.0,GOOGL,Call,8.31,0.09887,846.5499880000001,0.019164956,0.08987918551867032,8.0
24,2/17/17,3/3/17,122.0,TLT,Call,0.38,0.0993,120.32,0.038329911,0.10536167113759747,9.0
25,2/17/17,3/10/17,120.0,TLT,Call,1.39,0.09946,120.32,0.057494867000000005,0.10480507341511099,6.0
26,2/17/17,3/3/17,33.5,CSCO,Call,0.4,0.09986,33.740002000000004,0.038329911,0.09837957948942302,8.0
27,2/17/17,3/3/17,34.0,CSCO,Call,0.16,0.10001,33.740002000000004,0.038329911,0.10127272140700319,7.0
28,2/17/17,2/24/17,837.5,GOOGL,Call,10.59,0.10022,846.5499880000001,0.019164956,0.10049400689179512,9.0
29,2/17/17,3/3/17,122.5,TLT,Call,0.27,0.10072,120.32,0.038329911,0.10538146522844455,9.0
30,2/17/17,2/24/17,835.0,GOOG,Call,1.75,0.10106,828.070007,0.019164956,0.09456099775039346,8.0
31,2/17/17,2/24/17,122.0,TLT,Call,0.19,0.1014,120.32,0.019164956,0.11137935399796706,10.0
32,2/17/17,3/3/17,121.0,TLT,Call,0.72,0.10152,120.32,0.038329911,0.1076894041386879,7.0
33,2/17/17,2/24/17,825.0,GOOGL,Call,21.8,0.10159,846.5499880000001,0.019164956,0.1038019446747672,13.0
34,2/17/17,6/16/17,20.0,ACAT,Call,0.05,0.10189,18.549999,0.32580424399999997,0.09943609656341931,11.0
35,2/17/17,3/10/17,122.0,TLT,Call,0.59,0.102,120.32,0.057494867000000005,0.10728289968322598,8.0
36,2/17/17,3/10/17,33.5,CSCO,Call,0.48,0.10207999999999999,33.740002000000004,0.057494867000000005,0.10596646898986005,7.0
