method,log_accuracy_sigma=0.30,log_accuracy_sigma=0.50,log_accuracy_sigma=0.70,log_accuracy_sigma=1.00,log_accuracy_sigma=1.50,log_accuracy_sigma=1.70,log_accuracy_sigma=2.00,MSE_sigma=0.30,MSE_sigma=0.50,MSE_sigma=0.70,MSE_sigma=1.00,MSE_sigma=1.50,MSE_sigma=1.70,MSE_sigma=2.00,running_time_sigma=0.30,running_time_sigma=0.50,running_time_sigma=0.70,running_time_sigma=1.00,running_time_sigma=1.50,running_time_sigma=1.70,running_time_sigma=2.00
brentq,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,5.818,5.564,5.517,5.521,5.537,5.373,5.332
brenth,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,5.713,5.689,5.444,5.454,5.52,5.51,5.309
ridder,4.306460342,4.306460342,4.306460342,4.306460342,4.306460342,4.306460342,4.306460342,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,7.766,7.861,7.633,7.495,7.556,7.575,7.529
scipy_newton,4.149978136,4.112759479,4.125533719,4.139350706,4.122784126,4.179527367,4.116274659,5.85E+17,7.04E+23,7.80E+37,1.40E+19,7.82E+26,8.81E+31,6.69E+19,3.217,3.239,3.272,3.181,3.455,3.46,3.652
bisection,4.306460305,4.306460305,4.306460305,4.306460305,4.306460305,4.306460305,4.306460305,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,46.732,45.635,43.801,44.373,45.806,44.352,45.585
mullerBisection,4.306461131,4.306461131,4.306461131,4.306461131,4.306461131,4.306461131,4.306461131,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,33.706,33.597,32.211,32.589,32.443,31.489,31.208
newton,4.074877684,4.119030691,4.197569513,4.126677663,4.071597282,3.533860355,3.371820039,5.82E+198,5.81E+111,2.06E+42,1.55E+181,6.80E+19,6.54E+303,1.34E+47,4.095,4.145,4.045,3.925,3.368,4.402,2.926
halley,4.226468009,3.932856088,3.77350192,3.644566343,3.561883553,3.409329497,3.135998856,0.0008426,0.00104206,0.00167653,0.002811982,0.004907489,0.005869081,0.007530541,2.152,2.227,2.157,2.233,2.093,1.941,2.064
new_newton,4.304257102,4.304257102,4.304257102,4.304257102,4.304257102,4.304257102,4.304257102,0.215770763,0.215770763,0.215770763,0.215770763,0.215770763,0.215770763,0.215770763,16.443,16.463,16.214,16.462,16.292,14.974,14.926
new_halley,4.306323025,4.306323025,4.306323025,4.306323025,4.306323025,4.306323025,4.306323025,0.001000728,0.001000728,0.001000728,0.001000728,0.001000728,0.001000728,0.001000728,15.848,16.819,16.551,16.477,16.37,16.378,14.698
