,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T
54,2017-02-17,2017-05-19,175.0,MSG,Put,6.4,0.18516,175.300003,0.24914442162902123
55,2017-02-17,2017-05-19,180.0,MSG,Put,11.2,0.17833,175.300003,0.24914442162902123
56,2017-02-17,2017-05-19,185.0,MSG,Put,14.45,0.19737000000000002,175.300003,0.24914442162902123
57,2017-02-17,2017-08-18,160.0,MSG,Call,20.4,0.01264,175.300003,0.49828884325804246
58,2017-02-17,2017-08-18,170.0,MSG,Call,11.6,0.14448,175.300003,0.49828884325804246
59,2017-02-17,2017-08-18,175.0,MSG,Call,8.63,0.13246,175.300003,0.49828884325804246
60,2017-02-17,2017-08-18,180.0,MSG,Call,7.55,0.15,175.300003,0.49828884325804246
61,2017-02-17,2017-08-18,185.0,MSG,Call,6.37,0.15550999999999998,175.300003,0.49828884325804246
62,2017-02-17,2017-08-18,190.0,MSG,Call,5.7,0.18969,175.300003,0.49828884325804246
63,2017-02-17,2017-08-18,160.0,MSG,Put,4.01,0.19779000000000002,175.300003,0.49828884325804246
64,2017-02-17,2017-08-18,170.0,MSG,Put,7.2,0.19569,175.300003,0.49828884325804246
65,2017-02-17,2017-08-18,175.0,MSG,Put,9.1,0.22560999999999998,175.300003,0.49828884325804246
66,2017-02-17,2017-03-17,10.0,FLWS,Call,0.45,0.31687,10.0,0.07665982203969883
67,2017-02-17,2017-03-17,10.0,FLWS,Put,0.4,0.33803,10.0,0.07665982203969883
68,2017-02-17,2017-06-16,10.0,FLWS,Call,0.8,0.34131999999999996,10.0,0.3258042436687201
69,2017-02-17,2017-09-15,10.0,FLWS,Call,1.05,0.34121999999999997,10.0,0.5749486652977412
70,2017-02-17,2017-02-24,7.0,VNET,Call,0.4,0.56275,7.39,0.019164955509924708
71,2017-02-17,2017-02-24,7.5,VNET,Call,0.15,0.56186,7.39,0.019164955509924708
72,2017-02-17,2017-02-24,8.0,VNET,Call,0.1,1.13121,7.39,0.019164955509924708
73,2017-02-17,2017-02-24,7.0,VNET,Put,0.25,0.90018,7.39,0.019164955509924708
74,2017-02-17,2017-02-24,7.5,VNET,Put,0.2,0.51293,7.39,0.019164955509924708
75,2017-02-17,2017-03-03,7.5,VNET,Call,0.3,0.43942,7.39,0.038329911019849415
76,2017-02-17,2017-03-10,7.0,VNET,Call,0.55,0.9746600000000001,7.39,0.057494866529774126
77,2017-02-17,2017-03-10,7.5,VNET,Call,0.3,1.81234,7.39,0.057494866529774126
78,2017-02-17,2017-03-10,8.0,VNET,Call,0.15,0.7973399999999999,7.39,0.057494866529774126
79,2017-02-17,2017-03-17,7.0,VNET,Call,0.75,0.53614,7.39,0.07665982203969883
80,2017-02-17,2017-03-17,8.0,VNET,Call,0.23,0.56312,7.39,0.07665982203969883
81,2017-02-17,2017-03-24,7.5,VNET,Call,0.35,0.63368,7.39,0.09582477754962354
82,2017-02-17,2017-03-10,7.0,VNET,Put,0.25,0.52854,7.39,0.057494866529774126
83,2017-02-17,2017-03-10,7.5,VNET,Put,0.5,1.53856,7.39,0.057494866529774126
84,2017-02-17,2017-03-17,7.0,VNET,Put,0.2,0.5212,7.39,0.07665982203969883
85,2017-02-17,2017-03-17,8.0,VNET,Put,0.95,0.49908,7.39,0.07665982203969883
86,2017-02-17,2017-03-24,7.0,VNET,Put,0.3,0.54952,7.39,0.09582477754962354
87,2017-02-17,2017-06-16,7.0,VNET,Call,1.0,0.48476,7.39,0.3258042436687201
88,2017-02-17,2017-06-16,8.0,VNET,Call,0.55,0.45792,7.39,0.3258042436687201
89,2017-02-17,2017-06-16,7.0,VNET,Put,0.7,0.4638,7.39,0.3258042436687201
90,2017-02-17,2017-06-16,8.0,VNET,Put,3.36,0.53378,7.39,0.3258042436687201
91,2017-02-17,2017-09-15,8.0,VNET,Call,0.9,0.43575,7.39,0.5749486652977412
92,2017-02-17,2018-01-19,8.0,VNET,Call,1.15,0.47298999999999997,7.39,0.919917864476386
93,2017-02-17,2018-01-19,8.0,VNET,Put,1.85,0.47786000000000006,7.39,0.919917864476386
94,2017-02-17,2019-01-18,7.0,VNET,Call,2.0,0.505,7.39,1.9164955509924708
95,2017-02-17,2019-01-18,7.0,VNET,Put,1.8,0.48211000000000004,7.39,1.9164955509924708
96,2017-02-17,2017-03-17,35.0,TWOU,Call,2.1,0.48386,35.93,0.07665982203969883
97,2017-02-17,2017-03-17,35.0,TWOU,Put,1.5,0.59204,35.93,0.07665982203969883
98,2017-02-17,2017-04-21,35.0,TWOU,Call,2.7,0.39441,35.93,0.17248459958932238
99,2017-02-17,2017-04-21,35.0,TWOU,Put,3.6,0.5284800000000001,35.93,0.17248459958932238
100,2017-02-17,2017-07-21,35.0,TWOU,Call,4.1,0.30488000000000004,35.93,0.4216290212183436
101,2017-02-17,2017-07-21,35.0,TWOU,Put,3.4,0.41765,35.93,0.4216290212183436
102,2017-02-17,2017-04-21,35.0,JOBS,Call,2.8,0.48566000000000004,35.790001000000004,0.17248459958932238
103,2017-02-17,2017-07-21,35.0,JOBS,Call,3.3,0.34105,35.790001000000004,0.4216290212183436
104,2017-02-17,2017-03-17,12.5,CAFD,Call,1.1,0.272,13.4,0.07665982203969883
105,2017-02-17,2017-03-17,12.5,CAFD,Put,0.15,0.27396,13.4,0.07665982203969883
106,2017-02-17,2017-06-16,12.5,CAFD,Call,1.15,0.24458000000000002,13.4,0.3258042436687201
107,2017-02-17,2017-06-16,12.5,CAFD,Put,0.6,0.38521,13.4,0.3258042436687201
108,2017-02-17,2017-09-15,12.5,CAFD,Call,1.6,0.24548000000000003,13.4,0.5749486652977412
109,2017-02-17,2017-09-15,12.5,CAFD,Put,0.95,0.38249,13.4,0.5749486652977412
110,2017-02-17,2017-03-17,15.0,EGHT,Call,0.5,0.41931,15.0,0.07665982203969883
111,2017-02-17,2017-03-17,15.0,EGHT,Put,0.75,0.27765,15.0,0.07665982203969883
112,2017-02-17,2017-05-19,15.0,EGHT,Call,0.88,0.46331999999999995,15.0,0.24914442162902123
113,2017-02-17,2017-05-19,15.0,EGHT,Put,1.35,0.31626,15.0,0.24914442162902123
114,2017-02-17,2017-08-18,15.0,EGHT,Call,1.65,0.42632,15.0,0.49828884325804246
115,2017-02-17,2017-08-18,15.0,EGHT,Put,1.78,0.33027,15.0,0.49828884325804246
116,2017-02-17,2017-03-17,17.5,AVHI,Call,0.4,0.54191,16.700001,0.07665982203969883
117,2017-02-17,2017-03-17,17.5,AVHI,Put,1.65,0.3661,16.700001,0.07665982203969883
118,2017-02-17,2017-06-16,17.5,AVHI,Call,1.4,0.29612,16.700001,0.3258042436687201
119,2017-02-17,2017-06-16,17.5,AVHI,Put,1.75,0.32965,16.700001,0.3258042436687201
120,2017-02-17,2017-09-15,17.5,AVHI,Call,1.75,0.26236,16.700001,0.5749486652977412
121,2017-02-17,2017-09-15,17.5,AVHI,Put,1.7,0.29899000000000003,16.700001,0.5749486652977412
122,2017-02-17,2017-03-17,35.0,SHLM,Call,0.6,0.875,33.75,0.07665982203969883
123,2017-02-17,2017-04-21,35.0,SHLM,Call,1.5,0.5912,33.75,0.17248459958932238
124,2017-02-17,2017-07-21,35.0,SHLM,Call,4.28,0.49661000000000005,33.75,0.4216290212183436
125,2017-02-17,2017-03-17,35.0,AAON,Call,1.19,0.30831,34.349998,0.07665982203969883
126,2017-02-17,2017-04-21,35.0,AAON,Call,1.1,0.28104,34.349998,0.17248459958932238
127,2017-02-17,2017-03-17,50.0,ABAX,Call,1.3,0.28472,49.66,0.07665982203969883
128,2017-02-17,2017-03-17,45.0,ABAX,Put,2.15,0.9754299999999999,49.66,0.07665982203969883
129,2017-02-17,2017-03-17,50.0,ABAX,Put,2.2,0.27923000000000003,49.66,0.07665982203969883
130,2017-02-17,2017-05-19,45.0,ABAX,Put,2.0,0.5220600000000001,49.66,0.24914442162902123
131,2017-02-17,2017-05-19,50.0,ABAX,Put,3.8,0.28489000000000003,49.66,0.24914442162902123
132,2017-02-17,2017-08-18,45.0,ABAX,Put,3.4,0.49554,49.66,0.49828884325804246
133,2017-02-17,2017-03-17,105.0,ABMD,Call,10.8,0.1325,116.57,0.07665982203969883
134,2017-02-17,2017-03-17,110.0,ABMD,Call,8.2,0.177,116.57,0.07665982203969883
135,2017-02-17,2017-03-17,115.0,ABMD,Call,4.0,0.21863000000000002,116.57,0.07665982203969883
136,2017-02-17,2017-03-17,120.0,ABMD,Call,1.75,0.25075,116.57,0.07665982203969883
137,2017-02-17,2017-03-17,125.0,ABMD,Call,1.05,0.25022,116.57,0.07665982203969883
138,2017-02-17,2017-03-17,105.0,ABMD,Put,1.07,0.36407,116.57,0.07665982203969883
139,2017-02-17,2017-03-17,110.0,ABMD,Put,1.9,0.31487,116.57,0.07665982203969883
140,2017-02-17,2017-03-17,115.0,ABMD,Put,9.7,0.41265,116.57,0.07665982203969883
141,2017-02-17,2017-03-17,120.0,ABMD,Put,6.7,0.30744,116.57,0.07665982203969883
142,2017-02-17,2017-03-17,125.0,ABMD,Put,15.55,0.40318000000000004,116.57,0.07665982203969883
143,2017-02-17,2017-06-16,110.0,ABMD,Call,12.2,0.2866,116.57,0.3258042436687201
144,2017-02-17,2017-06-16,115.0,ABMD,Call,8.3,0.26934,116.57,0.3258042436687201
145,2017-02-17,2017-06-16,120.0,ABMD,Call,7.2,0.24844000000000002,116.57,0.3258042436687201
146,2017-02-17,2017-06-16,125.0,ABMD,Call,5.65,0.27439,116.57,0.3258042436687201
147,2017-02-17,2017-06-16,105.0,ABMD,Put,6.83,0.42928999999999995,116.57,0.3258042436687201
148,2017-02-17,2017-06-16,110.0,ABMD,Put,6.46,0.43115,116.57,0.3258042436687201
149,2017-02-17,2017-06-16,115.0,ABMD,Put,12.13,0.35643,116.57,0.3258042436687201
150,2017-02-17,2017-06-16,120.0,ABMD,Put,19.7,0.3771,116.57,0.3258042436687201
151,2017-02-17,2017-06-16,125.0,ABMD,Put,17.26,0.41353,116.57,0.3258042436687201
152,2017-02-17,2017-09-15,105.0,ABMD,Call,14.8,0.27943,116.57,0.5749486652977412
153,2017-02-17,2017-09-15,110.0,ABMD,Call,11.9,0.30283000000000004,116.57,0.5749486652977412
154,2017-02-17,2017-09-15,115.0,ABMD,Call,9.9,0.30787,116.57,0.5749486652977412
155,2017-02-17,2017-09-15,120.0,ABMD,Call,9.0,0.26205,116.57,0.5749486652977412
156,2017-02-17,2017-09-15,125.0,ABMD,Call,8.9,0.32661,116.57,0.5749486652977412
157,2017-02-17,2017-09-15,110.0,ABMD,Put,12.07,0.42486,116.57,0.5749486652977412
158,2017-02-17,2017-09-15,125.0,ABMD,Put,24.8,0.44606,116.57,0.5749486652977412
159,2017-02-17,2017-03-17,2.5,AXAS,Call,0.1,0.5625,2.31,0.07665982203969883
160,2017-02-17,2017-03-17,2.5,AXAS,Put,0.23,0.75631,2.31,0.07665982203969883
161,2017-02-17,2017-03-17,10.0,FLWS,Call,0.45,0.31687,10.0,0.07665982203969883
162,2017-02-17,2017-03-17,10.0,FLWS,Put,0.4,0.33803,10.0,0.07665982203969883
163,2017-02-17,2017-06-16,10.0,FLWS,Call,0.8,0.34131999999999996,10.0,0.3258042436687201
164,2017-02-17,2017-09-15,10.0,FLWS,Call,1.05,0.34121999999999997,10.0,0.5749486652977412
165,2017-02-17,2017-03-17,10.0,FLWS,Call,0.45,0.31687,10.0,0.07665982203969883
166,2017-02-17,2017-03-17,10.0,FLWS,Put,0.4,0.33803,10.0,0.07665982203969883
167,2017-02-17,2017-06-16,10.0,FLWS,Call,0.8,0.34131999999999996,10.0,0.3258042436687201
168,2017-02-17,2017-09-15,10.0,FLWS,Call,1.05,0.34121999999999997,10.0,0.5749486652977412
169,2017-02-17,2017-02-24,7.0,VNET,Call,0.4,0.56275,7.39,0.019164955509924708
170,2017-02-17,2017-02-24,7.5,VNET,Call,0.15,0.56186,7.39,0.019164955509924708
171,2017-02-17,2017-02-24,8.0,VNET,Call,0.1,1.13121,7.39,0.019164955509924708
172,2017-02-17,2017-02-24,7.0,VNET,Put,0.25,0.90018,7.39,0.019164955509924708
173,2017-02-17,2017-02-24,7.5,VNET,Put,0.2,0.51293,7.39,0.019164955509924708
174,2017-02-17,2017-03-03,7.5,VNET,Call,0.3,0.43942,7.39,0.038329911019849415
175,2017-02-17,2017-03-10,7.0,VNET,Call,0.55,0.9746600000000001,7.39,0.057494866529774126
176,2017-02-17,2017-03-10,7.5,VNET,Call,0.3,1.81234,7.39,0.057494866529774126
177,2017-02-17,2017-03-10,8.0,VNET,Call,0.15,0.7973399999999999,7.39,0.057494866529774126
178,2017-02-17,2017-03-17,7.0,VNET,Call,0.75,0.53614,7.39,0.07665982203969883
179,2017-02-17,2017-03-17,8.0,VNET,Call,0.23,0.56312,7.39,0.07665982203969883
180,2017-02-17,2017-03-24,7.5,VNET,Call,0.35,0.63368,7.39,0.09582477754962354
181,2017-02-17,2017-03-10,7.0,VNET,Put,0.25,0.52854,7.39,0.057494866529774126
182,2017-02-17,2017-03-10,7.5,VNET,Put,0.5,1.53856,7.39,0.057494866529774126
183,2017-02-17,2017-03-17,7.0,VNET,Put,0.2,0.5212,7.39,0.07665982203969883
184,2017-02-17,2017-03-17,8.0,VNET,Put,0.95,0.49908,7.39,0.07665982203969883
185,2017-02-17,2017-03-24,7.0,VNET,Put,0.3,0.54952,7.39,0.09582477754962354
186,2017-02-17,2017-06-16,7.0,VNET,Call,1.0,0.48476,7.39,0.3258042436687201
187,2017-02-17,2017-06-16,8.0,VNET,Call,0.55,0.45792,7.39,0.3258042436687201
188,2017-02-17,2017-06-16,7.0,VNET,Put,0.7,0.4638,7.39,0.3258042436687201
189,2017-02-17,2017-06-16,8.0,VNET,Put,3.36,0.53378,7.39,0.3258042436687201
190,2017-02-17,2017-09-15,8.0,VNET,Call,0.9,0.43575,7.39,0.5749486652977412
191,2017-02-17,2018-01-19,8.0,VNET,Call,1.15,0.47298999999999997,7.39,0.919917864476386
192,2017-02-17,2018-01-19,8.0,VNET,Put,1.85,0.47786000000000006,7.39,0.919917864476386
193,2017-02-17,2019-01-18,7.0,VNET,Call,2.0,0.505,7.39,1.9164955509924708
194,2017-02-17,2019-01-18,7.0,VNET,Put,1.8,0.48211000000000004,7.39,1.9164955509924708
195,2017-02-17,2017-03-17,35.0,TWOU,Call,2.1,0.48386,35.93,0.07665982203969883
196,2017-02-17,2017-03-17,35.0,TWOU,Put,1.5,0.59204,35.93,0.07665982203969883
197,2017-02-17,2017-04-21,35.0,TWOU,Call,2.7,0.39441,35.93,0.17248459958932238
