,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,halleyMomentum,halleyMomentum_steps
2343,2/17/17,7/21/17,4.5,GRPN,Call,0.71,0.52259,4.66,0.421629021,0.4791591521251747,1.0
2344,2/17/17,2/24/17,12.5,ENDP,Put,0.15,0.52441,13.08,0.019164956,0.4766614627731782,1.0
2345,2/17/17,6/16/17,35.0,FNSR,Call,3.6,0.52579,33.75,0.32580424399999997,0.4865566063971932,1.0
2346,2/17/17,9/15/17,13.0,FEYE,Put,2.56,0.5262100000000001,11.83,0.574948665,0.4740156116165805,1.0
2347,2/17/17,3/3/17,7.5,HIMX,Call,0.1,0.52675,6.94,0.038329911,0.48426140886020436,1.0
2348,2/17/17,7/21/17,4.5,GRPN,Put,0.54,0.52733,4.66,0.421629021,0.4787493523507632,1.0
2349,2/17/17,3/3/17,4.5,GRPN,Put,0.12,0.52741,4.66,0.038329911,0.48231775693183687,1.0
2350,2/17/17,3/10/17,53.0,AMBA,Put,1.7,0.52878,55.470001,0.057494867000000005,0.4852819710750287,1.0
2351,2/17/17,6/16/17,135.0,ICPT,Call,13.0,0.52991,128.449997,0.32580424399999997,0.486256530251631,1.0
2352,2/17/17,3/10/17,51.0,AMBA,Put,1.05,0.53072,55.470001,0.057494867000000005,0.4870905156654983,1.0
2353,2/17/17,9/15/17,20.0,FOSL,Call,3.6,0.53208,20.73,0.574948665,0.4746741056895888,1.0
2354,2/17/17,3/17/17,7.0,AMSC,Put,0.61,0.53225,6.62,0.076659822,0.4753748489881586,1.0
2355,2/17/17,3/3/17,51.5,AMBA,Put,0.8,0.5380699999999999,55.470001,0.038329911,0.4905297811570438,1.0
2356,2/17/17,5/19/17,7.5,HDSN,Put,0.71,0.54127,7.73,0.249144422,0.49595594423546413,1.0
2357,2/17/17,3/17/17,13.0,HALO,Call,0.6,0.5413399999999999,12.61,0.076659822,0.500261943246048,1.0
2358,2/17/17,1/19/18,17.0,HZNP,Put,3.5,0.5437,16.969998999999998,0.9199178640000001,0.49979346182209594,1.0
2359,2/17/17,2/24/17,38.0,BBBY,Put,0.23,0.54447,41.139998999999996,0.019164956,0.49938919231489604,1.0
2360,2/17/17,5/19/17,17.0,HZNP,Call,1.85,0.54472,16.969998999999998,0.249144422,0.5003184762766645,1.0
2361,2/17/17,6/16/17,135.0,ICPT,Put,19.9,0.54699,128.449997,0.32580424399999997,0.5039642217368729,1.0
2362,2/17/17,3/17/17,11.0,EMKR,Call,0.3,0.54715,10.15,0.076659822,0.49522802596017257,1.0
2363,2/17/17,8/18/17,12.0,INSY,Call,1.4,0.5509,11.1,0.498288843,0.5077242172175297,1.0
2364,2/17/17,5/19/17,7.5,AXTI,Call,0.75,0.5524899999999999,7.35,0.249144422,0.5051491101290433,1.0
2365,2/17/17,1/19/18,25.0,JUNO,Call,4.2,0.55371,23.129998999999998,0.9199178640000001,0.5037614066179174,1.0
2366,2/17/17,1/18/19,17.0,HZNP,Put,5.0,0.55703,16.969998999999998,1.916495551,0.5054910621625442,1.0
2367,2/17/17,7/21/17,7.5,BCOV,Put,0.85,0.55896,8.05,0.421629021,0.5044661932640682,1.0
2368,2/17/17,3/10/17,32.0,FSLR,Put,0.7,0.5596800000000001,34.84,0.057494867000000005,0.504544106350143,1.0
2369,2/17/17,3/3/17,51.0,AMBA,Put,0.74,0.56037,55.470001,0.038329911,0.5087530751356142,1.0
2370,2/17/17,3/17/17,120.0,ICPT,Put,4.2,0.56219,128.449997,0.076659822,0.5119166028039177,1.0
2371,2/17/17,3/17/17,8.0,VNET,Call,0.23,0.56312,7.39,0.076659822,0.5064664764069783,1.0
2372,2/17/17,3/17/17,8.0,VNET,Call,0.23,0.56312,7.39,0.076659822,0.5064664764069783,1.0
2373,2/17/17,8/18/17,60.0,AVXS,Call,9.0,0.56315,59.150002,0.498288843,0.5103971224848046,1.0
2374,2/17/17,3/17/17,40.0,DXPE,Put,4.11,0.5660000000000001,37.099998,0.076659822,0.5124498588452384,1.0
2375,2/17/17,4/21/17,14.0,CSIQ,Call,1.4,0.56697,14.12,0.1724846,0.521623860656267,1.0
2376,2/17/17,3/17/17,5.0,GSVC,Call,0.6,0.56724,5.45,0.076659822,0.5132964210923139,1.0
2377,2/17/17,3/3/17,52.0,AMBA,Put,1.05,0.57129,55.470001,0.038329911,0.5200784835763009,1.0
2378,2/17/17,9/15/17,120.0,ICPT,Put,17.25,0.57202,128.449997,0.574948665,0.5217493784346869,1.0
2379,2/17/17,4/21/17,13.0,CSIQ,Put,0.8,0.57496,14.12,0.1724846,0.5226088338642064,1.0
2380,2/17/17,3/3/17,34.5,FSLR,Call,1.75,0.57568,34.84,0.038329911,0.5276184320971693,1.0
2381,2/17/17,3/17/17,50.0,ALNY,Put,4.1,0.57655,48.279999,0.076659822,0.532898809281227,1.0
2382,2/17/17,3/17/17,2.0,GLUU,Put,0.1,0.57695,2.06,0.076659822,0.5200118656572074,1.0
2383,2/17/17,6/16/17,18.0,DEPO,Call,1.6,0.57815,16.469998999999998,0.32580424399999997,0.5294497159630344,1.0
2384,2/17/17,8/18/17,4.0,CLMT,Call,0.6,0.58135,3.9,0.498288843,0.5307477242652743,1.0
2385,2/17/17,3/17/17,135.0,ICPT,Call,5.7,0.5845899999999999,128.449997,0.076659822,0.5355854231274325,1.0
2386,2/17/17,5/19/17,25.0,JUNO,Call,1.94,0.5887399999999999,23.129998999999998,0.249144422,0.5264904872411221,1.0
2387,2/17/17,3/17/17,11.0,INSY,Call,0.77,0.59182,11.1,0.076659822,0.5344962789607742,1.0
2388,2/17/17,9/15/17,5.0,ASNA,Call,0.95,0.59241,5.11,0.574948665,0.5321046268376131,1.0
2389,2/17/17,6/16/17,13.0,HALO,Put,1.9,0.59375,12.61,0.32580424399999997,0.5358899943296903,1.0
2390,2/17/17,7/21/17,49.0,IONS,Call,6.3,0.59622,46.939999,0.421629021,0.5332404381321613,1.0
2391,2/17/17,6/16/17,7.5,DWSN,Put,0.85,0.59712,7.88,0.32580424399999997,0.5400633528412371,1.0
2392,2/17/17,2/24/17,262.5,BIIB,Put,1.43,0.5974,288.940002,0.019164956,0.5483385186376816,1.0
2393,2/17/17,3/17/17,14.0,CSIQ,Call,1.0,0.5979899999999999,14.12,0.076659822,0.5486369518167338,1.0
2394,2/17/17,5/19/17,4.0,CERS,Call,0.65,0.6000300000000001,4.29,0.249144422,0.5404373109019475,1.0
2395,2/17/17,3/17/17,35.0,FNSR,Put,2.95,0.60187,33.75,0.076659822,0.5463148277093948,1.0
2396,2/17/17,2/24/17,44.5,BBBY,Call,0.33,0.60242,41.139998999999996,0.019164956,0.5458585008570128,1.0
2397,2/17/17,2/24/17,40.0,ACAD,Call,1.0,0.6057899999999999,39.279999,0.019164956,0.5514165495065676,1.0
2398,2/17/17,6/16/17,15.0,DEPO,Put,1.5,0.60688,16.469998999999998,0.32580424399999997,0.5530523209346427,1.0
2399,2/17/17,2/24/17,46.5,CTRP,Call,1.17,0.60696,45.630001,0.019164956,0.559362126489812,1.0
2400,2/17/17,2/24/17,45.0,CTRP,Call,1.88,0.61053,45.630001,0.019164956,0.5603704284481681,1.0
2401,2/17/17,6/16/17,15.0,HRTX,Call,1.7,0.61137,14.3,0.32580424399999997,0.5537508142891308,1.0
2402,2/17/17,3/17/17,32.0,FNSR,Put,1.48,0.61202,33.75,0.076659822,0.5647678151972734,1.0
2403,2/17/17,3/17/17,34.0,FNSR,Put,2.45,0.6136199999999999,33.75,0.076659822,0.566811116474839,1.0
2404,2/17/17,3/17/17,30.0,GHDX,Put,2.5,0.61431,29.110001,0.076659822,0.5663042320331607,1.0
2405,2/17/17,4/21/17,20.0,EXAS,Put,2.05,0.61724,19.91,0.1724846,0.5553330528185725,1.0
2406,2/17/17,4/21/17,18.0,EXAS,Put,1.1,0.618,19.91,0.1724846,0.5551266721840794,1.0
2407,2/17/17,4/21/17,48.0,IONS,Call,4.4,0.61959,46.939999,0.1724846,0.5673441916624798,1.0
2408,2/17/17,7/21/17,14.0,CSIQ,Put,2.2,0.62039,14.12,0.421629021,0.5721372652357564,1.0
2409,2/17/17,3/17/17,80.0,BLUE,Call,4.1,0.62095,77.099998,0.076659822,0.568144247821243,1.0
2410,2/17/17,6/16/17,2.5,AXAS,Call,0.25,0.62259,2.31,0.32580424399999997,0.5593253965889382,1.0
2411,2/17/17,3/17/17,35.0,FNSR,Call,1.82,0.6261,33.75,0.076659822,0.5725151404652855,1.0
2412,2/17/17,3/3/17,33.0,FSLR,Put,0.9,0.62644,34.84,0.038329911,0.5710081038110253,1.0
2413,2/17/17,5/19/17,10.0,ICON,Call,0.9,0.62812,9.31,0.249144422,0.5744775635448158,1.0
2414,2/17/17,5/19/17,25.0,JUNO,Put,4.0,0.63229,23.129998999999998,0.249144422,0.5703728620317972,1.0
2415,2/17/17,1/19/18,80.0,BLUE,Put,20.0,0.63372,77.099998,0.9199178640000001,0.5759059711660212,1.0
2416,2/17/17,4/21/17,60.0,CLVS,Call,9.85,0.63502,65.800003,0.1724846,0.5700864061446826,1.0
2417,2/17/17,3/17/17,13.0,CSIQ,Put,0.5,0.64261,14.12,0.076659822,0.583443703354004,1.0
2418,2/17/17,10/20/17,45.0,ALNY,Call,11.44,0.6428699999999999,48.279999,0.670773443,0.5821179937042493,1.0
2419,2/17/17,3/17/17,7.5,HWCC,Call,0.3,0.6471600000000001,7.0,0.076659822,0.5805962969084898,1.0
2420,2/17/17,2/24/17,128.0,ICPT,Call,4.8,0.64876,128.449997,0.019164956,0.5862598628387996,1.0
2421,2/17/17,3/17/17,80.0,BLUE,Put,7.2,0.6523899999999999,77.099998,0.076659822,0.5929397480489328,1.0
2422,2/17/17,3/3/17,9.5,GPRO,Put,0.61,0.65272,9.25,0.038329911,0.5910015224173442,1.0
2423,2/17/17,9/15/17,45.0,FPRX,Put,7.5,0.65962,48.169998,0.574948665,0.5910695406452829,1.0
2424,2/17/17,8/18/17,22.5,FMI,Call,5.42,0.66501,24.4,0.498288843,0.6086077457798991,1.0
2425,2/17/17,1/19/18,50.0,ALNY,Call,11.4,0.6654399999999999,48.279999,0.9199178640000001,0.5976730573513345,1.0
2426,2/17/17,3/10/17,9.5,GPRO,Put,0.73,0.66568,9.25,0.057494867000000005,0.6072126800839703,1.0
2427,2/17/17,7/21/17,47.0,IONS,Put,8.15,0.66822,46.939999,0.421629021,0.6159593955520395,1.0
2428,2/17/17,5/19/17,75.0,BLUE,Put,8.9,0.6683,77.099998,0.249144422,0.6009192968569781,1.0
2429,2/17/17,9/15/17,25.0,FMI,Put,5.3,0.6825600000000001,24.4,0.574948665,0.6199278374303119,1.0
2430,2/17/17,3/3/17,130.0,JAZZ,Put,4.03,0.68353,137.190002,0.038329911,0.6155780117169941,1.0
2431,2/17/17,1/19/18,25.0,EXEL,Put,7.2,0.68893,23.120001000000002,0.9199178640000001,0.6332612710660932,1.0
2432,2/17/17,3/17/17,65.0,ACIA,Call,5.8,0.6907300000000001,66.58000200000001,0.076659822,0.6210878600509548,1.0
2433,2/17/17,8/18/17,25.0,EXEL,Call,3.8,0.69753,23.120001000000002,0.498288843,0.631599877980316,1.0
2434,2/17/17,1/19/18,12.0,ARRY,Call,2.8,0.69816,11.37,0.9199178640000001,0.6395504819158946,1.0
2435,2/17/17,3/17/17,10.0,GOGO,Put,1.2,0.7063699999999999,9.22,0.076659822,0.6427274521050266,1.0
2436,2/17/17,9/15/17,22.5,FMI,Call,6.0,0.71418,24.4,0.574948665,0.6440198832440883,1.0
2437,2/17/17,2/24/17,33.0,FSLR,Put,0.61,0.7148899999999999,34.84,0.019164956,0.647649211354657,1.0
2438,2/17/17,2/24/17,33.5,FSLR,Put,0.8,0.72331,34.84,0.019164956,0.659325662846069,1.0
2439,2/17/17,3/24/17,13.5,ENDP,Call,1.0,0.7326199999999999,13.08,0.09582477800000001,0.6637527946432307,1.0
2440,2/17/17,5/19/17,10.0,GOGO,Put,1.8,0.73405,9.22,0.249144422,0.6611155487387147,1.0
2441,2/17/17,7/21/17,12.5,ADRO,Call,2.0,0.74051,11.8,0.421629021,0.6779365132039712,1.0
2442,2/17/17,3/17/17,22.5,APEI,Put,1.1,0.7407100000000001,24.4,0.076659822,0.6698657471456101,1.0
2443,2/17/17,6/16/17,12.0,ARRY,Put,2.3,0.74497,11.37,0.32580424399999997,0.682307276331334,1.0
2444,2/17/17,3/17/17,5.0,KERX,Call,0.45,0.7540600000000001,5.06,0.076659822,0.6858393680899642,1.0
2445,2/17/17,3/17/17,70.0,CLVS,Put,8.0,0.7552399999999999,65.800003,0.076659822,0.6889450284932735,1.0
2446,2/17/17,3/17/17,35.0,BPMC,Call,3.2,0.7557699999999999,35.509997999999996,0.076659822,0.6855906881076533,1.0
2447,2/17/17,3/17/17,10.0,GPRO,Put,1.24,0.76141,9.25,0.076659822,0.6969525433280813,1.0
2448,2/17/17,3/17/17,18.0,EXAS,Put,0.81,0.76247,19.91,0.076659822,0.6913123945843944,1.0
2449,2/17/17,5/19/17,21.0,EXEL,Call,4.5,0.76358,23.120001000000002,0.249144422,0.6915178369329841,1.0
2450,2/17/17,3/17/17,12.0,INSY,Call,0.6,0.76463,11.1,0.076659822,0.70262556631521,1.0
2451,2/17/17,8/18/17,5.0,IMMU,Call,1.3,0.77295,5.34,0.498288843,0.7060034347235289,1.0
2452,2/17/17,3/3/17,128.0,JAZZ,Put,4.13,0.77315,137.190002,0.038329911,0.6940965856812502,1.0
2453,2/17/17,3/17/17,5.0,KERX,Put,0.4,0.78303,5.06,0.076659822,0.7054838636784857,1.0
2454,2/17/17,7/21/17,11.0,ARRY,Put,2.05,0.78663,11.37,0.421629021,0.7115421088920164,1.0
2455,2/17/17,3/3/17,13.0,ENDP,Call,0.85,0.7931199999999999,13.08,0.038329911,0.7220830101669565,1.0
2456,2/17/17,9/15/17,22.5,AKAO,Put,5.2,0.79545,22.68,0.574948665,0.7196026880778963,1.0
2457,2/17/17,3/17/17,5.5,KERX,Call,0.28,0.8047,5.06,0.076659822,0.7293583529298011,1.0
2458,2/17/17,3/3/17,46.0,IONS,Call,3.42,0.80897,46.939999,0.038329911,0.7324953764630044,1.0
2459,2/17/17,5/19/17,25.0,EXEL,Call,3.0,0.80921,23.120001000000002,0.249144422,0.7371176304349895,1.0
2460,2/17/17,5/19/17,10.0,KPTI,Put,1.35,0.81455,10.6,0.249144422,0.7315656978354407,1.0
