,log_accuracy_sigma=0.30,log_accuracy_sigma=0.50,log_accuracy_sigma=0.70,log_accuracy_sigma=1.00,log_accuracy_sigma=1.50,log_accuracy_sigma=1.70,log_accuracy_sigma=2.00,MSE_sigma=0.30,MSE_sigma=0.50,MSE_sigma=0.70,MSE_sigma=1.00,MSE_sigma=1.50,MSE_sigma=1.70,MSE_sigma=2.00,running_time_sigma=0.30,running_time_sigma=0.50,running_time_sigma=0.70,running_time_sigma=1.00,running_time_sigma=1.50,running_time_sigma=1.70,running_time_sigma=2.00
brentq,4.306460343467234,4.306460343467234,4.306460343467234,4.306460343467234,4.306460343467234,4.306460343467234,4.306460343467234,0.001001016796287529,0.001001016796287529,0.001001016796287529,0.001001016796287529,0.001001016796287529,0.001001016796287529,0.001001016796287529,5.818,5.564,5.517,5.521,5.537,5.373,5.332
brenth,4.306460343471891,4.306460343471891,4.306460343471891,4.306460343471891,4.306460343471891,4.306460343471891,4.306460343471891,0.0010010167962874084,0.0010010167962874084,0.0010010167962874084,0.0010010167962874084,0.0010010167962874084,0.0010010167962874084,0.0010010167962874084,5.713,5.689,5.444,5.454,5.52,5.51,5.309
ridder,4.306460342298231,4.306460342298231,4.306460342298231,4.306460342298231,4.306460342298231,4.306460342298231,4.306460342298231,0.0010010167962864853,0.0010010167962864853,0.0010010167962864853,0.0010010167962864853,0.0010010167962864853,0.0010010167962864853,0.0010010167962864853,7.766,7.861,7.633,7.495,7.556,7.575,7.529
scipy_newton,4.149978135566941,4.112759479257583,4.125533719457488,4.139350705548601,4.12278412618215,4.179527366559454,4.116274658982175,5.853247377116864e+17,7.042729502119726e+23,7.79877078636779e+37,1.4037381741836229e+19,7.815299266996094e+26,8.810856668215297e+31,6.6867160464097485e+19,3.217,3.239,3.272,3.181,3.455,3.46,3.652
bisection,4.306460305379525,4.306460305379525,4.306460305379525,4.306460305379525,4.306460305379525,4.306460305379525,4.306460305379525,0.0010010167960230756,0.0010010167960230756,0.0010010167960230756,0.0010010167960230756,0.0010010167960230756,0.0010010167960230756,0.0010010167960230756,46.732,45.635,43.801,44.373,45.806,44.352,45.585
mullerBisection,4.306461131379914,4.306461131379914,4.306461131379914,4.306461131379914,4.306461131379914,4.306461131379914,4.306461131379914,0.0010010166019603628,0.0010010166019603628,0.0010010166019603628,0.0010010166019603628,0.0010010166019603628,0.0010010166019603628,0.0010010166019603628,33.706,33.597,32.211,32.589,32.443,31.489,31.208
newton,4.074877684482098,4.119030691225851,4.197569512819,4.12667766331088,4.071597282452214,3.5338603547217553,3.3718200388028228,5.824653332238221e+198,5.814824864862069e+111,2.0593467627544854e+42,1.5542096141860772e+181,6.796053894428528e+19,6.539919000523992e+303,1.3430179396097261e+47,4.095,4.145,4.045,3.925,3.368,4.402,2.926
halley,4.226468008707953,3.93285608816185,3.773501919924625,3.6445663425013977,3.5618835533742286,3.4093294972753716,3.135998855519508,0.0008426004382085496,0.0010420602571758635,0.001676530223830387,0.00281198220430049,0.004907489477996447,0.005869081382694721,0.007530541118236142,2.152,2.227,2.157,2.233,2.093,1.941,2.064
new_newton,4.304257101953529,4.304257101953529,4.304257101953529,4.304257101953529,4.304257101953529,4.304257101953529,4.304257101953529,0.21577076307542156,0.21577076307542156,0.21577076307542156,0.21577076307542156,0.21577076307542156,0.21577076307542156,0.21577076307542156,16.443,16.463,16.214,16.462,16.292,14.974,14.926
new_halley,4.306323024544738,4.306323024544738,4.306323024544738,4.306323024544738,4.306323024544738,4.306323024544738,4.306323024544738,0.0010007280578846255,0.0010007280578846255,0.0010007280578846255,0.0010007280578846255,0.0010007280578846255,0.0010007280578846255,0.0010007280578846255,15.848,16.819,16.551,16.477,16.37,16.378,14.698
